,tradeNum,total_return,winning_rate,max_drawdown,sharpe_ratio
129,366,0.31343972444585355,0.5792349726775956,-0.3422994203859941,0.3255448592828432
130,254,0.610002759376799,0.6141732283464567,-0.19965236212719217,0.7229647682960533
131,369,1.1878872728521266,0.5989159891598916,-0.189526043313924,1.1675308109300464
132,302,-0.568878207185575,0.5496688741721855,-0.6425586154737171,-0.4438049083700598
133,97,-0.09869219447572361,0.6391752577319587,-0.38326875297429547,-0.08087358570598782
134,159,-0.16003611897668027,0.6352201257861635,-0.3341077754750957,-0.1737573529853805
135,169,-0.39239833061790774,0.5502958579881657,-0.8564354228425356,-0.400619244408361
136,154,0.8028809472128408,0.6818181818181818,-0.3990463878131972,0.7284370258730644
137,367,-0.47901271630886677,0.5040871934604905,-0.7069011869385061,-0.49932025515280315
138,310,-0.3842476888293712,0.5387096774193548,-0.5282099976419863,-0.3346097493309088
139,148,0.6156683662281852,0.6621621621621622,-0.2070074474525605,0.706995262037488
140,193,0.5965960234175943,0.6373056994818653,-0.27732751153869406,0.6490162406866402
141,112,0.30813693604247555,0.6339285714285714,-0.1906373389551058,0.4209433383141868
142,402,-0.010929566483369036,0.5348258706467661,-0.40702759546196404,-0.010647109652361762
143,376,-0.01539721512061257,0.5345744680851063,-0.8079146549538153,-0.008348527075037134
144,233,-0.5938749521813388,0.5493562231759657,-0.7963706935931457,-0.4529064264658102
145,342,1.020526793444094,0.5877192982456141,-0.2841397441977664,0.8465072887970042
146,204,-0.20159369964496887,0.6078431372549019,-1.0904270724556788,-0.13421724064364676
147,111,0.08833572164804157,0.6396396396396397,-0.41144367516310626,0.09097962504048711
148,352,0.3714500431538753,0.5482954545454546,-0.36573702784241,0.29521307485421394
149,245,0.6162046147737021,0.6530612244897959,-0.1716422103508514,0.736623499702053
150,398,0.09005912828978875,0.542713567839196,-0.160697757339205,0.1430723366351266
151,203,0.30659244405153596,0.5517241379310345,-0.31069683825109085,0.3255092140580318
152,186,-0.4999182843699363,0.5860215053763441,-1.1688054344365884,-0.3799723215501766
153,237,-0.5619027317324066,0.5358649789029536,-0.9262892848290772,-0.4812572481307904
154,300,1.0940398743263764,0.6066666666666667,-0.336876659215994,1.0897090252166495
155,78,-1.578088158459791,0.6794871794871795,-1.6651199266096552,-1.1060273608600604
156,409,0.15497765451247364,0.5623471882640587,-0.47378571809689046,0.12598509505060917
157,111,0.12853845693938074,0.6036036036036037,-0.3639421956443152,0.10506481283778112
158,380,0.7978108298985133,0.5710526315789474,-0.26987764074615794,0.7764041981911031
159,365,-0.47834627466203883,0.4931506849315068,-0.5766115128981525,-0.4270988036197299
160,403,-0.2024000258074025,0.533498759305211,-0.5791816670254676,-0.15604459847079258
161,301,0.04484709090623539,0.5249169435215947,-0.28060092182640173,0.03732236826828014
162,250,-0.32013143651315845,0.572,-0.47702265730768034,-0.34444615712444127
163,209,-0.6034769754175918,0.569377990430622,-1.469730072111456,-0.3167686674280275
164,107,0.34911647145155916,0.6355140186915887,-0.16955893152346224,0.42894227040351485
165,343,-0.06433337598251697,0.5918367346938775,-0.3861062516422473,-0.07686096459246577
166,125,0.8500224124468345,0.72,-0.29496454768845876,0.9400063064938471
167,141,0.23095909906267303,0.5815602836879432,-0.2870061170648625,0.24647502338213226
168,245,0.5059714705849497,0.5673469387755102,-0.46356625572140275,0.46926442098448634
169,169,0.10940069582901486,0.6745562130177515,-0.3231957410217149,0.15695335182675346
170,179,-0.4099200578326627,0.6089385474860335,-0.4925955848759477,-0.2900745219754454
171,356,0.34818239545520774,0.5617977528089888,-0.6928044928946011,0.24112619428080737
172,88,0.006408236997577801,0.6590909090909091,-0.6138507878522974,0.006450025789492861
173,120,0.30983003793780645,0.675,-0.29215049041871743,0.3860367357104476
174,216,0.8863123775106317,0.6296296296296297,-0.20046255487089235,0.7544482206100397
175,123,0.1210529556739854,0.6422764227642277,-0.2570626834944276,0.13504211514454287
176,137,0.6191247400789738,0.6715328467153284,-0.2058663588135771,0.7215768806843097
177,340,0.2275007785388853,0.5823529411764706,-0.42083264434076667,0.21037277361631923
178,349,0.5177618351375162,0.5673352435530086,-0.6423418639689955,0.48643516904233
179,242,0.8072087421416171,0.6363636363636364,-0.23489632572815713,0.8897740494773733
180,244,-0.12501429551717141,0.5901639344262295,-0.16321165823921144,-0.1478401414071714
181,146,-0.2474950645453495,0.6575342465753424,-0.7507151165638679,-0.2027853544104934
182,139,0.590977195107376,0.7050359712230215,-0.2283982715706343,0.5654390960357532
183,335,0.1441434173884195,0.5761194029850746,-0.25016494870884604,0.17171175534517025
184,287,-0.3734465954002506,0.5470383275261324,-0.7044345031693253,-0.2998256014487042
185,252,0.06349332970248625,0.5753968253968254,-0.6776510636151759,0.053595650455562444
186,86,0.15202400831126536,0.6395348837209303,-0.7261337613056795,0.15831980166595874
187,284,-0.31501391832742737,0.5598591549295775,-0.7196742867935338,-0.25494259348567394
188,314,-0.7236111756185717,0.5477707006369427,-1.2772466189812635,-0.44986860114164345
189,160,0.42701541583680774,0.6625,-0.23391495733461465,0.41821402498456145
190,399,0.3584582154878489,0.5839598997493735,-0.27880184749297304,0.4256440821254683
191,126,0.36357650629467775,0.6666666666666666,-0.7192794342620605,0.2591675342777542
192,223,0.16017041803824428,0.6143497757847534,-0.6019265064584828,0.17533608525618988
193,350,0.13504632627147756,0.5457142857142857,-0.2282317202779118,0.1428699697000679
194,334,-0.5395085305901304,0.5748502994011976,-0.8263364731086017,-0.5265288171930818
195,186,-0.1457612114128029,0.6397849462365591,-0.5132526473299392,-0.12556911957879538
196,368,-0.49230875663015694,0.532608695652174,-0.47877226946462537,-0.38301976530889
197,311,0.008778452433132466,0.5594855305466238,-0.42088821703558144,0.007662314591378785
198,338,0.5836605939036167,0.591715976331361,-0.30001632929832756,0.496987168117446
199,109,0.513500100884456,0.7155963302752294,-0.396333210715392,0.45062434892335856
200,111,0.35346019129296546,0.6846846846846847,-0.30228289920233287,0.43795532180844565
201,231,-0.18810304837321692,0.5930735930735931,-0.3713294961236794,-0.25505051307164556
202,108,0.7463096943052162,0.6944444444444444,-0.1358814325835186,0.9554312786651479
203,268,0.22146430931504132,0.5970149253731343,-0.3552254001643106,0.27491008595434774
204,400,0.6916203575918588,0.58,-0.41728295247542474,0.4314008953747026
205,101,-0.6989986354143323,0.594059405940594,-1.136475975509662,-0.43563473470582215
206,225,0.8804454092714572,0.6444444444444445,-0.10989676122722075,1.1602504408541352
207,218,-0.13082446681334503,0.5871559633027523,-0.22452306166558056,-0.17417648342490005
208,310,0.6144405542445567,0.5741935483870968,-0.4297121168160673,0.4909204363537072
209,220,0.29751096709812147,0.5590909090909091,-0.39497673092785973,0.2245428275066411
210,104,0.5997345459832752,0.6826923076923077,-0.4116793992245617,0.5394172254634811
211,391,0.12330094793032319,0.5575447570332481,-0.37594260585738665,0.14039597924185188
212,240,0.5739344007118085,0.6708333333333333,-0.15908545761259812,0.8480425440067608
213,214,0.49917095040903714,0.6308411214953271,-0.20519856095810968,0.8423071468835642
214,310,0.07832453963704125,0.6,-0.5235141223166234,0.07532811896580084
215,176,-0.021498988883077018,0.5852272727272727,-0.48318761229421603,-0.023672045112032778
216,78,0.007831814833419376,0.6794871794871795,-0.4341044430867898,0.009019264725529653
217,413,8.046925465484061e-4,0.5544794188861986,-0.5130985790424111,7.674621454248886e-4
218,350,0.49531684540987475,0.5571428571428572,-0.1275165376526876,0.5600272333825842
219,198,-0.1255723803484581,0.6212121212121212,-0.5704111053905226,-0.11715240600050737
220,231,0.6944919203476293,0.5974025974025974,-0.24140678333025367,0.7404730117000169
221,121,-0.3379428787560201,0.5785123966942148,-0.7036387503127008,-0.3378189677284956
222,99,-0.017240303340603735,0.6464646464646465,-0.4898310652542878,-0.0185668832671747
223,322,-0.37154598018075025,0.5683229813664596,-0.7359546740417616,-0.30386551733739875
224,129,0.2951467656147937,0.6589147286821705,-0.23871888283065384,0.47437433011632174
225,183,-0.17927664442962724,0.5901639344262295,-0.5138501274881773,-0.18689625356129047
226,119,0.702493752611808,0.6890756302521008,-0.23215576797306062,0.6678273980601216
227,330,-0.14412482211170655,0.603030303030303,-0.5067246809453224,-0.1446338247410532
228,391,0.4920899919094406,0.578005115089514,-0.47583819219254814,0.2942496439836413
229,339,-0.011954808017014457,0.584070796460177,-0.2911051001442012,-0.011957208069107172
230,85,0.28026093711956296,0.611764705882353,-0.24971299184801404,0.3474092473912508
231,355,-0.16870295576702798,0.53239436619718306,-0.4410645567131283,-0.22238309667242726
232,94,0.25416823262703925,0.648936170212766,-0.1551072373141689,0.31008268594401556
233,136,0.3210793413956831,0.7058823529411765,-0.39122440009640463,0.32915209258206984
234,115,-0.04915449829926538,0.6521739130434783,-0.7217085094035744,-0.04402424693940989
235,215,0.13616224533247595,0.6186046511627907,-0.5829197045467001,0.13926026854955845
236,134,0.5312873855879374,0.6417910447761194,-0.4438028739132524,0.5002960384509701
237,334,0.5755378456569296,0.5958083832335329,-0.25000772054352033,0.4901408524259947
238,103,-0.05530657253287541,0.6504854368932039,-0.5046787485742932,-0.048763520099381244
239,118,0.31276196814884166,0.711864406779661,-0.6276239987603681,0.3829733526905755
240,231,-0.5940037967002597,0.5324675324675324,-0.7820536330659501,-0.6208903721144318
241,399,0.6261165423731079,0.5488721804511278,-0.3661095818750406,0.4122339186942216
242,204,1.1078082595349568,0.6715686274509803,-0.2057069759820232,1.1985863116805964
243,108,0.05957150529905434,0.6666666666666666,-0.3497932248702896,0.05700617104414981
244,104,0.13054470813717775,0.6923076923076923,-0.30304938864207054,0.15657867800052405
245,381,0.43551435357885626,0.5774278215223098,-0.15904402178527127,0.5990181722475567
246,204,0.60085079439318545,0.6568627450980392,-0.3822804582248919,0.5786873830462574
247,335,0.26808544375216375,0.5761194029850746,-0.27689727500846334,0.22763713152448187
248,274,-0.6789541912115578,0.5766423357664233,-0.740860938374381,-0.6378902959025964
